Year,Catch (t),Effort (FisherDays),Effort ('000 net lifts),CPUE (kg.NL-1),CPUE (kg.FisherDay-1)
1984,149.097,272,,,83.25
1985,292.276,815,,,95.07
1986,382.756,1189,,,94.39
1987,487.917,1462,,,142.7
1988,291,827,,,124.54
1989,208.614,483,,,137.16
1990,259.018,684,,,161.49
1991,325.875,1000,,,157.84
1992,329.917,696,,,177.21
1993,350.707,1370,,,140.04
1994,443.583,1518,,,171.37
1995,423.592,1337,,,188.95
1996,378.325,1529,,,165.27
1997,310.761,2462,,,126.22
1998,267.467,1653,,,161.81
1999,224.528,1535,,,146.27
2000,241.928,1620,,,149.34
2001,204.607,1678,,,121.94
2002,227.931,1718,,,132.67
2003,220.223,1509,,,145.94
2004,118.405,949,,,124.77
2005,133.38,1199,,,111.24
2006,119.237,1117,,,106.75
2007,114.101,1030,,,110.78
2008,85.22,727,,,117.22
2009,91.431,770,56,1.70446371,120.09
2010,82.471,695,46,1.685605952,119.03
2011,102.337,755,52,2.162832334,135.39
2012,131.695,935,59,2.325991839,140.77
2013,145.946,1002,71,2.099061898,145.53
2014,78.539,694,42,2.147493539,113.25
2015,143.622,951,59,2.716344511,160.18
2016,140.158,723,42,3.325741097,201.68
2017,140.244,714,45,2.97623131,204.12
2018,111.716,673,53,1.954307584,174.43
2019,87.9,654,50,1.751514362,132.62
