Year,Catch (t),Effort (FisherDays),Effort ('000 net lifts),CPUE (kg.NL-1),CPUE (kg.FisherDay-1),state,total,Predicted_recruitment,FIS_CPUE_all,FIS_CPUE_legal,FIS_CPUE_sublegal,lagged_Predicted_recruitment
1984,149.097,272,NA,NA,83.25,NA,NA,NA,NA,NA,NA,NA
1985,292.276,815,NA,NA,95.07,NA,NA,NA,NA,NA,NA,NA
1986,382.756,1189,NA,NA,94.39,NA,NA,NA,NA,NA,NA,NA
1987,487.917,1462,NA,NA,142.7,NA,NA,NA,NA,NA,NA,NA
1988,291,827,NA,NA,124.54,NA,NA,NA,NA,NA,NA,NA
1989,208.614,483,NA,NA,137.16,NA,NA,NA,NA,NA,NA,NA
1990,259.018,684,NA,NA,161.49,NA,NA,NA,NA,NA,NA,NA
1991,325.875,1000,NA,NA,157.84,NA,NA,NA,NA,NA,NA,NA
1992,329.917,696,NA,NA,177.21,NA,NA,NA,NA,NA,NA,NA
1993,350.707,1370,NA,NA,140.04,NSW,3364,NA,NA,NA,NA,NA
1994,443.583,1518,NA,NA,171.37,NSW,3386,3523.3333333333335,NA,NA,NA,NA
1995,423.592,1337,NA,NA,188.95,NSW,3820,3516.6666666666665,NA,NA,NA,NA
1996,378.325,1529,NA,NA,165.27,NSW,3344,3199,NA,NA,NA,NA
1997,310.761,2462,NA,NA,126.22,NSW,2433,3617.3333333333335,NA,NA,NA,NA
1998,267.467,1653,NA,NA,161.81,NSW,5075,4054.6666666666665,NA,NA,NA,3523.3333333333335
1999,224.528,1535,NA,NA,146.27,NSW,4656,4940.333333333333,NA,NA,NA,3516.6666666666665
2000,241.928,1620,NA,NA,149.34,NSW,5090,3810,NA,NA,NA,3199
2001,204.607,1678,NA,NA,121.94,NSW,1684,3144,NA,NA,NA,3617.3333333333335
2002,227.931,1718,NA,NA,132.67,NSW,2658,2120,NA,NA,NA,4054.6666666666665
2003,220.223,1509,NA,NA,145.94,NSW,2018,2268,NA,NA,NA,4940.333333333333
2004,118.405,949,NA,NA,124.77,NSW,2128,2201,NA,NA,NA,3810
2005,133.38,1199,NA,NA,111.24,NSW,2457,2692.3333333333335,7.391304347826083,4.772234273318883,2.9220779220779285,3144
2006,119.237,1117,NA,NA,106.75,NSW,3492,2898,4.130434782608692,3.253796095444695,1.406926406926413,2120
2007,114.101,1030,NA,NA,110.78,NSW,2745,3507,9.456521739130434,3.470715835141011,6.060606060606069,2268
2008,85.22,727,NA,NA,117.22,NSW,4284,2847.3333333333335,8.369565217391301,2.8199566160520675,5.84415584415585,2201
2009,91.431,770,56,1.70446371,120.09,NSW,1513,2546.3333333333335,9.239130434782602,5.422993492407816,4.220779220779228,2692.3333333333335
2010,82.471,695,46,1.685605952,119.03,NSW,1842,1833,19.021739130434774,9.544468546637756,9.523809523809533,2898
2011,102.337,755,52,2.162832334,135.39,NSW,2144,2878.3333333333335,10.217391304347824,7.592190889370944,3.0303030303030383,3507
2012,131.695,935,59,2.325991839,140.77,NSW,4649,3633.3333333333335,6.086956521739129,3.579175704989165,2.7056277056277125,2847.3333333333335
2013,145.946,1002,71,2.099061898,145.53,NSW,4107,3605.6666666666665,14.239130434782613,7.592190889370944,6.7099567099567174,2546.3333333333335
2014,78.539,694,42,2.147493539,113.25,NSW,2061,3408.3333333333335,12.06521739130434,4.3383947939262555,7.900432900432907,1833
2015,143.622,951,59,2.716344511,160.18,NSW,4057,2838.6666666666665,23.58695652173912,9.110629067245128,14.069264069264076,2878.3333333333335
2016,140.158,723,42,3.325741097,201.68,NSW,2398,3033.6666666666665,26.41304347826087,20.06507592190891,6.7099567099567174,3633.3333333333335
2017,140.244,714,45,2.97623131,204.12,NSW,2646,2409,19.673913043478255,11.388286334056414,8.225108225108233,3605.6666666666665
2018,111.716,673,53,1.954307584,174.43,NSW,2183,NA,19.89130434782608,11.930585683297185,8.008658008658017,3408.3333333333335
2019,87.9,654,50,1.751514362,132.62,NA,NA,NA,NA,NA,NA,2838.6666666666665
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3033.6666666666665
2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2409
