spawning_year,state,total,DD
1993,NSW,2038,1200
1994,NSW,2611,1200
1995,NSW,2386,1200
1996,NSW,2198,1200
1997,NSW,1673,1200
1998,NSW,3037,1200
1999,NSW,2354,1200
2000,NSW,2985,1200
2001,NSW,1262,1200
2002,NSW,1841,1200
2003,NSW,1464,1200
2004,NSW,1865,1200
2005,NSW,1676,1200
2006,NSW,3047,1200
2007,NSW,2312,1200
2008,NSW,2232,1200
2009,NSW,831,1200
2010,NSW,1466,1200
2011,NSW,990,1200
2012,NSW,3134,1200
2013,NSW,3171,1200
2014,NSW,2265,1200
2015,NSW,2278,1200
2016,NSW,1520,1200
2017,NSW,1971,1200
2018,NSW,1047,1200
